data_entrada,nro_nfe,item,produto_id,descricao_produto,ordem_compra,qtde_recebida,filial_id,custo_unitario
2025-02-27 00:00:00,NFE1,1.0,P1,Produto 1,1.0,77.0,1.0,84.35
2025-01-20 00:00:00,NFE2,1.0,P2,Produto 2,2.0,64.0,1.0,16.66
2025-02-18 00:00:00,NFE3,1.0,P3,Produto 3,3.0,88.0,1.0,90.36
2025-02-12 00:00:00,NFE4,1.0,P4,Produto 4,4.0,4.0,1.0,84.68
2025-02-19 00:00:00,NFE5,1.0,P5,Produto 5,5.0,95.0,1.0,98.99
2025-02-08 00:00:00,NFE6,1.0,P6,Produto 6,6.0,41.0,1.0,90.29
2025-01-03 00:00:00,NFE7,1.0,P7,Produto 7,7.0,75.0,1.0,27.22
2025-02-21 00:00:00,NFE8,1.0,P8,Produto 8,8.0,25.0,1.0,71.1
2025-02-13 00:00:00,NFE9,1.0,P9,Produto 9,9.0,57.0,1.0,19.55
2025-03-01 00:00:00,NFE10,1.0,P10,Produto 10,10.0,7.0,1.0,54.39
2025-01-23 00:00:00,NFE11,1.0,P11,Produto 11,11.0,85.0,1.0,91.89
2025-01-02 00:00:00,NFE12,1.0,P12,Produto 12,12.0,12.0,1.0,38.53
2025-02-20 00:00:00,NFE13,1.0,P13,Produto 13,13.0,7.0,1.0,60.86
2025-01-10 00:00:00,NFE14,1.0,P14,Produto 14,14.0,92.0,1.0,38.48
2025-01-13 00:00:00,NFE15,1.0,P15,Produto 15,15.0,68.0,1.0,95.58
2025-01-22 00:00:00,NFE16,1.0,P16,Produto 16,16.0,89.0,1.0,39.46
2025-02-24 00:00:00,NFE17,1.0,P17,Produto 17,17.0,10.0,1.0,10.32
2025-01-31 00:00:00,NFE18,1.0,P18,Produto 18,18.0,48.0,1.0,62.56
2025-02-13 00:00:00,NFE19,1.0,P19,Produto 19,19.0,64.0,1.0,84.54
2025-01-01 00:00:00,NFE20,1.0,P20,Produto 20,20.0,6.0,1.0,65.7
