pedido_id,data_pedido,item,produto_id,descricao_produto,ordem_compra,qtde_pedida,filial_id,data_entrega,qtde_entregue,qtde_pendente,preco_compra,fornecedor_id
1.0,2025-01-02 00:00:00,1.0,P1,Produto 1,1.0,96.0,1.0,2025-02-27 00:00:00,10.0,86.0,46.67,1.0
2.0,2025-01-07 00:00:00,1.0,P2,Produto 2,2.0,14.0,1.0,2025-01-07 00:00:00,7.0,7.0,77.32,2.0
3.0,2025-01-05 00:00:00,1.0,P3,Produto 3,3.0,12.0,1.0,2025-01-03 00:00:00,2.0,10.0,47.82,3.0
4.0,2025-01-22 00:00:00,1.0,P4,Produto 4,4.0,27.0,1.0,2025-01-28 00:00:00,3.0,24.0,49.57,4.0
5.0,2025-01-28 00:00:00,1.0,P5,Produto 5,5.0,35.0,1.0,2025-02-28 00:00:00,12.0,23.0,57.18,5.0
6.0,2025-02-22 00:00:00,1.0,P6,Produto 6,6.0,98.0,1.0,2025-01-05 00:00:00,55.0,43.0,59.96,6.0
7.0,2025-03-01 00:00:00,1.0,P7,Produto 7,7.0,34.0,1.0,2025-02-01 00:00:00,29.0,5.0,49.22,7.0
8.0,2025-02-02 00:00:00,1.0,P8,Produto 8,8.0,29.0,1.0,2025-02-14 00:00:00,24.0,5.0,35.88,8.0
9.0,2025-01-15 00:00:00,1.0,P9,Produto 9,9.0,57.0,1.0,2025-01-28 00:00:00,34.0,23.0,28.48,9.0
10.0,2025-01-09 00:00:00,1.0,P10,Produto 10,10.0,49.0,1.0,2025-02-09 00:00:00,4.0,45.0,42.86,10.0
11.0,2025-02-22 00:00:00,1.0,P11,Produto 11,11.0,24.0,1.0,2025-01-08 00:00:00,12.0,12.0,14.82,11.0
12.0,2025-02-25 00:00:00,1.0,P12,Produto 12,12.0,91.0,1.0,2025-02-20 00:00:00,48.0,43.0,6.92,12.0
13.0,2025-02-23 00:00:00,1.0,P13,Produto 13,13.0,99.0,1.0,2025-02-02 00:00:00,91.0,8.0,65.44,13.0
14.0,2025-01-21 00:00:00,1.0,P14,Produto 14,14.0,96.0,1.0,2025-01-01 00:00:00,27.0,69.0,21.91,14.0
15.0,2025-02-04 00:00:00,1.0,P15,Produto 15,15.0,45.0,1.0,2025-01-04 00:00:00,1.0,44.0,85.04,15.0
16.0,2025-02-27 00:00:00,1.0,P16,Produto 16,16.0,84.0,1.0,2025-01-14 00:00:00,51.0,33.0,64.17,16.0
17.0,2025-01-08 00:00:00,1.0,P17,Produto 17,17.0,22.0,1.0,2025-01-19 00:00:00,7.0,15.0,74.55,17.0
18.0,2025-02-17 00:00:00,1.0,P18,Produto 18,18.0,63.0,1.0,2025-01-02 00:00:00,17.0,46.0,24.94,18.0
19.0,2025-02-19 00:00:00,1.0,P19,Produto 19,0.0,20.0,1.0,2025-01-08 00:00:00,0.0,20.0,22.21,19.0
20.0,2025-02-10 00:00:00,1.0,P20,Produto 20,0.0,25.0,1.0,2025-01-15 00:00:00,0.0,25.0,38.51,20.0
21.0,2025-02-25 00:00:00,1.0,P12,Produto 12,0.0,12.0,1.0,2025-02-20 00:00:00,0.0,12.0,6.92,12.0
22.0,2025-02-23 00:00:00,1.0,P13,Produto 13,0.0,4.0,1.0,2025-02-02 00:00:00,0.0,4.0,65.44,13.0
23.0,2025-01-21 00:00:00,1.0,P14,Produto 14,0.0,6.0,1.0,2025-01-01 00:00:00,0.0,6.0,21.91,14.0
24.0,2025-02-04 00:00:00,1.0,P15,Produto 15,0.0,8.0,1.0,2025-01-04 00:00:00,0.0,8.0,85.04,15.0
25.0,2025-02-27 00:00:00,1.0,P16,Produto 16,0.0,9.0,1.0,2025-01-14 00:00:00,0.0,9.0,64.17,16.0
26.0,2025-01-08 00:00:00,1.0,P17,Produto 17,0.0,4.0,1.0,2025-01-19 00:00:00,0.0,4.0,74.55,17.0
27.0,2025-02-17 00:00:00,1.0,P18,Produto 18,0.0,3.0,1.0,2025-01-02 00:00:00,0.0,3.0,24.94,18.0
28.0,2025-02-19 00:00:00,1.0,P19,Produto 19,0.0,3.0,1.0,2025-01-08 00:00:00,0.0,3.0,22.21,19.0
29.0,2025-02-10 00:00:00,1.0,P20,Produto 20,0.0,2.0,1.0,2025-01-15 00:00:00,0.0,2.0,38.51,20.0
