venda_id,data_emissao,horariomov,produto_id,qtde_vendida,valor_unitario,filial_id,item,unidade_medida
1.0,2025-01-11 00:00:00,08:00:00,P1,5.0,78.93,1.0,1.0,UN
2.0,2025-03-02 00:00:00,08:00:00,P2,7.0,92.96,1.0,1.0,UN
3.0,2025-01-28 00:00:00,08:00:00,P3,9.0,197.61,1.0,1.0,UN
4.0,2025-01-10 00:00:00,08:00:00,P4,38.6,139.71,1.0,1.0,UN
5.0,2025-01-11 00:00:00,08:00:00,P5,3.0,126.79,1.0,1.0,UN
6.0,2025-01-24 00:00:00,08:00:00,P6,2.0,36.83,1.0,1.0,UN
7.0,2025-02-22 00:00:00,08:00:00,P7,5.0,40.75,1.0,1.0,UN
8.0,2025-01-26 00:00:00,08:00:00,P8,20.04,51.37,1.0,1.0,UN
9.0,2025-01-17 00:00:00,08:00:00,P9,6.0,172.55,1.0,1.0,UN
10.0,2025-01-03 00:00:00,08:00:00,P10,90.0,44.22,1.0,1.0,UN
11.0,2025-01-08 00:00:00,08:00:00,P11,6.0,190.37,1.0,1.0,UN
12.0,2025-01-21 00:00:00,08:00:00,P12,2.86,136.4,1.0,1.0,UN
13.0,2025-01-24 00:00:00,08:00:00,P13,13.0,61.85,1.0,1.0,UN
14.0,2025-02-07 00:00:00,08:00:00,P14,53.0,106.3,1.0,1.0,UN
15.0,2025-02-20 00:00:00,08:00:00,P15,27.0,43.4,1.0,1.0,UN
16.0,2025-02-17 00:00:00,08:00:00,P16,37.11,14.41,1.0,1.0,UN
17.0,2025-02-22 00:00:00,08:00:00,P17,3.0,139.8,1.0,1.0,UN
18.0,2025-02-18 00:00:00,08:00:00,P18,5.0,185.23,1.0,1.0,UN
19.0,2025-02-20 00:00:00,08:00:00,P19,10.0,182.51,1.0,1.0,UN
20.0,2025-02-28 00:00:00,08:00:00,P20,2.0,68.54,1.0,1.0,UN
21.0,2025-01-24 00:00:00,08:00:00,P21,25.0,61.85,1.0,1.0,UN
22.0,2025-02-07 00:00:00,08:00:00,P22,6.0,106.3,1.0,1.0,UN
23.0,2025-02-20 00:00:00,08:00:00,P23,7.0,43.4,1.0,1.0,UN
24.0,2025-02-17 00:00:00,08:00:00,P24,4.0,14.41,1.0,1.0,UN
25.0,2025-02-22 00:00:00,08:00:00,P25,8.0,139.8,1.0,1.0,UN
26.0,2025-02-18 00:00:00,08:00:00,P26,3.11,185.23,1.0,1.0,UN
27.0,2025-02-20 00:00:00,08:00:00,P27,3.0,182.51,2.0,1.0,UN
28.0,2025-03-28 00:00:00,08:00:00,P28,6.0,68.54,3.0,1.0,UN
29.0,2025-03-17 00:00:00,08:00:00,P24,5.0,14.41,1.0,1.0,UN
30.0,2025-03-22 00:00:00,08:00:00,P25,3.0,139.8,1.0,1.0,UN
31.0,2025-03-18 00:00:00,08:00:00,P26,4.0,185.23,1.0,1.0,UN
32.0,2025-03-20 00:00:00,08:00:00,P27,2.0,182.51,2.0,1.0,UN
33.0,2025-03-28 00:00:00,08:00:00,P28,1.0,68.54,3.0,1.0,UN
